State_Stn_Num Latitude Longitude0
MT_363 45.267 -110.2332033.016
MT_365 45.883 -110.9332231.136
MT_981 45.233 -109.4501792.224
MT_381 45.883 -113.3171959.864
MT_385 44.950 -111.2832743.2
MT_403 45.017 -111.8332621.28
MT_407 45.183 -109.3332392.68
MT_410 46.450 -113.3831706.88
MT_413 47.050 -112.5831584.96
MT_414 47.067 -112.7172118.36
MT_427 46.783 -109.5001844.04
MT_919 46.667 -110.3172316.48
MT_433 46.183 -113.8501761.744
MT_436 45.167 -113.5832621.28
MT_437 46.783 -110.6671965.96
MT_448 44.783 -112.0502377.44
MT_458 48.050 -112.7501752.6
MT_1105 45.500 -110.0671930.908
MT_1106 46.483 -110.7002316.48
MT_469 48.433 -113.9331325.88
MT_480 45.050 -109.9332773.68
MT_482 48.800 -113.8501920.24
MT_487 46.433 -112.1831975.104
MT_918 48.967 -115.8171295.4
MT_500 48.900 -114.7501310.64
MT_510 48.300 -114.8331534.668
MT_516 48.967 -115.9501965.96
MT_530 46.967 -115.0331844.04
MT_562 47.417 -113.7671447.8
MT_568 44.583 -111.8172255.52
MT_576 44.983 -113.4332468.88
MT_578 45.500 -110.9502090.928
MT_581 47.200 -105.183875.0808
MT_590 45.267 -111.4172706.624
MT_1179 48.950 -110.867996.3912
MT_1180 48.783 -111.0331193.9016
MT_603 45.500 -111.9172407.92
MT_604 46.867 -113.3171426.464
MT_609 44.583 -111.1002362.2
MT_613 48.783 -113.6671493.52
MT_635 45.217 -110.2332697.48
MT_646 47.683 -113.9502066.544
MT_649 47.917 -112.8171950.72
MT_656 45.400 -112.9502529.84
MT_657 46.867 -113.2671905
MT_903 46.833 -112.5002139.696
MT_662 45.717 -114.4671722.12
MT_664 48.150 -113.9331840.992
MT_667 47.267 -113.7501929.384
MT_670 45.000 -110.0002240.28
MT_1008 46.900 -110.8502258.568
MT_930 46.117 -113.3002194.56
MT_690 46.567 -111.2672026.92
MT_693 48.300 -113.3171807.464
MT_696 45.417 -110.0832691.384
MT_932 48.117 -115.6171554.48
MT_700 46.100 -110.4671981.2
MT_722 46.350 -112.2502438.4
MT_917 48.167 -109.6331432.56
MT_725 46.083 -110.4332468.88
MT_929 45.867 -110.9171996.44
MT_727 45.683 -113.9672420.112
MT_753 44.967 -111.9502133.6
MT_754 45.400 -110.9502468.88
MT_760 46.233 -113.7672209.8
MT_783 47.167 -114.3331874.52
MT_781 46.767 -110.6172468.88
MT_787 48.900 -114.8501837.944
MT_1009 46.917 -110.9001996.44
MT_901 46.983 -113.9172255.52
MT_808 45.800 -111.5831363.6752
MT_813 44.783 -111.7002438.4
MT_893 46.333 -111.8502097.024
MT_835 46.133 -114.4331706.88
MT_836 46.133 -114.5001950.72
MT_1181 48.883 -111.0831343.5584
MT_847 47.917 -112.7831706.88
MT_850 46.267 -113.1502377.44
MT_924 44.650 -111.0832042.16
MT_858 44.600 -111.1332072.64
MT_862 45.033 -109.9002651.76
MT_876 47.433 -112.8001816.608
NM_316 36.500 -106.3172834.64
NM_394 36.950 -106.6502560.32
NM_921 35.700 -105.8002502.408
NM_486 33.733 -108.9332438.4
NM_491 36.183 -105.5502987.04
NM_532 36.700 -106.2503048
NM_595 33.350 -107.8172590.8
NM_1048 33.000 -107.8672816.352
NM_1138 36.167 -108.9332758.44
NM_665 36.983 -105.2503230.88
NM_1170 36.400 -105.3172849.88
NM_708 35.917 -106.3832895.6
NM_715 36.683 -105.3333002.28
NM_1173 35.883 -106.5503230.88
NM_933 35.217 -108.2672578.608
NM_1172 36.850 -106.2172773.68
NM_922 35.767 -105.7673488.436
NM_744 36.000 -106.8332621.28
NM_1169 36.783 -105.2333078.48
NM_1034 33.400 -105.7833133.344
NM_755 32.917 -108.1332548.128
NM_757 33.367 -108.7002743.2
NM_1168 36.567 -105.4503370.1736
NM_934 36.467 -105.1833102.864
NM_1083 36.117 -105.5172621.28
NM_1017 36.017 -106.8002836.4688
NM_854 35.767 -105.5333389.376
NV_321 41.833 -115.4502450.592
NV_334 39.317 -114.6172773.68
NV_336 41.750 -115.6832042.16
NV_337 39.283 -117.1002650.236
NV_340 39.450 -119.9332514.2952
NV_1155 39.450 -114.6332407.92
NV_1111 36.300 -115.6832736.7992
NV_373 41.750 -117.5172107.692
NV_1152 39.150 -114.6003203.448
NV_417 40.267 -115.5332590.8
NV_443 39.550 -115.8332448.4584
NV_445 41.967 -118.1831981.2
NV_453 40.883 -115.2002468.88
NV_454 41.650 -115.3172194.56
NV_476 41.817 -116.1002133.6
NV_498 41.667 -117.5502603.9064
NV_503 40.383 -115.5172438.4
NV_527 40.933 -115.0832407.92
NV_548 41.533 -116.0002209.8
NV_549 41.517 -116.0002566.416
NV_1150 39.550 -114.6172427.732
NV_569 41.500 -117.6171828.8
NV_570 40.633 -115.3672346.96
NV_573 41.767 -116.0172041.2456
NV_1112 36.300 -115.6672629.2048
NV_1006 40.350 -116.8502255.52
NV_615 39.150 -119.8832401.824
NV_652 39.300 -119.8832682.5448
NV_698 41.867 -115.2332538.984
NV_1110 36.233 -115.6172430.78
NV_746 41.733 -115.4672164.08
NV_750 41.900 -119.4331786.128
NV_811 41.217 -116.0171889.76
NV_1136 41.317 -116.3332362.2
NV_1137 39.433 -115.9832395.728
NV_849 39.117 -114.9502804.16
NV_1147 39.000 -114.3003092.8056
OR_302 45.200 -117.1832255.52
OR_1000 42.867 -122.1501831.848
OR_304 45.183 -119.2501758.696
OR_331 45.133 -118.2171569.72
OR_341 42.050 -122.8501844.04
OR_343 42.067 -123.3331563.624
OR_344 42.400 -122.2501609.344
OR_351 45.417 -121.8501112.52
OR_357 44.233 -118.5171789.176
OR_361 44.817 -118.1831783.08
OR_362 45.350 -118.4671380.744
OR_388 43.583 -122.0501554.48
OR_395 43.217 -121.8001478.28
OR_398 45.083 -121.7501036.32
OR_401 45.183 -121.6831161.288
OR_406 42.517 -122.1671810.512
OR_422 45.183 -118.5501472.184
OR_1010 42.633 -120.9331883.664
OR_434 44.517 -122.0831124.712
OR_440 44.433 -119.9171783.08
OR_442 43.183 -122.1331609.344
OR_464 44.867 -118.1001679.448
OR_470 45.550 -118.4501158.24
OR_477 42.700 -118.6172334.768
OR_479 42.367 -122.3331420.368
OR_483 42.433 -122.2171819.656
OR_945 42.200 -121.1331490.472
OR_494 44.750 -118.3001648.968
OR_504 45.617 -121.7001008.888
OR_523 45.683 -118.1001499.616
OR_526 44.417 -121.8501459.992
OR_529 43.667 -122.5671502.664
OR_1158 42.200 -122.3671383.792
OR_545 43.800 -121.9331688.592
OR_552 44.383 -122.1671072.896
OR_558 42.717 -123.2001322.832
OR_563 44.200 -118.6331597.152
OR_584 44.600 -122.2171225.296
OR_605 45.267 -118.8331514.856
OR_608 45.100 -119.4831569.72
OR_614 44.583 -121.967789.432
OR_619 44.200 -121.8671453.896
OR_1079 45.967 -117.9331700.784
OR_1084 45.233 -123.267128.016
OR_647 45.267 -117.6831755.648
OR_651 45.317 -121.7001636.776
OR_653 45.250 -117.1672410.968
OR_655 45.250 -121.7331240.536
OR_660 43.500 -121.9671496.568
OR_666 45.550 -122.000932.688
OR_671 44.417 -120.3171655.064
OR_687 45.033 -121.9171042.416
OR_706 42.317 -120.8171743.456
OR_710 43.650 -122.200816.864
OR_712 45.450 -121.7001344.168
OR_719 43.900 -122.0171508.76
OR_721 44.000 -118.8331612.392
OR_726 45.533 -123.367947.928
OR_729 43.600 -122.1171286.256
OR_733 44.433 -121.9331139.952
OR_736 45.000 -117.1501645.92
OR_743 45.517 -123.283627.888
OR_745 42.683 -122.1331737.36
OR_756 42.950 -121.1671749.552
OR_759 42.750 -118.6832130.552
OR_767 43.933 -119.5331898.904
OR_925 45.433 -122.017819.912
OR_789 44.250 -119.0171600.2
OR_794 42.117 -120.8331758.696
OR_800 42.683 -120.8002157.984
OR_801 43.433 -122.1331709.928
OR_1078 42.783 -121.9671645.92
OR_1077 42.400 -121.6672081.784
OR_810 42.683 -121.4171533.144
OR_812 45.067 -117.5501749.552
OR_815 44.133 -121.6331734.312
OR_821 44.650 -118.4171569.72
OR_1044 43.217 -122.417987.552
OR_873 45.067 -118.1501716.024
SD_354 44.100 -103.9672100.072
SD_920 44.200 -103.7831868.424
UT_907 37.517 -112.2672712.72
UT_992 40.883 -110.8172590.8
UT_329 39.133 -111.5502429.256
UT_330 40.600 -111.0832523.744
UT_332 41.367 -111.9332438.4
UT_333 41.367 -111.9171776.6792
UT_339 38.300 -112.3503154.3752
UT_348 38.667 -111.5832884.0176
UT_1162 40.950 -110.5672703.576
UT_364 38.500 -112.0172995.5744
UT_1154 37.667 -112.8503039.4656
UT_366 40.583 -111.5672667
UT_368 40.567 -110.5833230.88
UT_371 39.133 -111.4332874.264
UT_1153 37.867 -109.4332742.5904
UT_374 41.683 -111.4172423.16
UT_1135 40.983 -110.8502438.4
UT_383 37.800 -109.4832733.4464
UT_1039 40.267 -111.6002347.5696
UT_390 37.650 -112.7332919.984
UT_392 40.850 -111.0332741.0664
UT_393 40.883 -111.0672486.5584
UT_396 40.767 -110.0003228.4416
UT_983 37.967 -111.8173062.9352
UT_399 39.850 -111.2672715.1584
UT_400 39.883 -111.2502334.4632
UT_432 40.350 -111.0832438.4
UT_435 40.283 -111.2502449.6776
UT_444 39.033 -111.4672798.6736
UT_452 38.200 -111.4672987.04
UT_455 41.400 -111.5332545.08
UT_906 40.550 -112.1672161.9464
UT_461 39.300 -109.5172530.1448
UT_1163 40.883 -110.5332837.0784
UT_474 40.967 -111.8002438.4
UT_1054 40.983 -111.8172066.2392
UT_475 38.767 -111.6672951.0736
UT_1149 38.500 -111.7672687.7264
UT_481 40.717 -110.4673334.512
UT_1114 41.917 -111.4672316.48
UT_1066 37.400 -113.4502536.5456
UT_1151 41.900 -113.4002741.3712
UT_495 38.800 -111.6672423.16
UT_1065 37.483 -113.9332061.3624
UT_896 40.867 -111.7172209.8
UT_514 37.483 -112.5672373.4776
UT_517 40.783 -110.8832807.8176
UT_521 40.950 -110.4832901.3912
UT_522 40.900 -109.9502787.396
UT_528 40.917 -110.1832788.92
UT_533 41.300 -111.4332487.168
UT_543 39.883 -110.7332796.54
UT_1099 38.067 -112.1672971.4952
UT_1145 41.233 -111.4002255.52
UT_557 38.483 -112.3832782.5192
UT_559 40.700 -109.5332659.0752
UT_1115 41.967 -111.5832255.52
UT_561 37.517 -113.0502805.9888
UT_566 40.583 -110.4173174.492
UT_1116 40.550 -110.3502579.8272
UT_567 40.733 -110.6173342.4368
UT_572 38.467 -109.2672913.888
UT_1056 41.350 -111.4832503.932
UT_579 40.850 -110.7832790.7488
UT_582 41.400 -111.8171994.6112
UT_583 37.483 -113.8331859.28
UT_592 37.500 -113.3832438.4
UT_593 37.483 -112.5002275.0272
UT_596 40.833 -111.7002499.36
UT_1118 41.217 -111.3501854.0984
UT_972 40.817 -111.7502042.16
UT_612 39.667 -111.3172659.9896
UT_621 38.300 -112.4332652.6744
UT_626 37.567 -112.8332987.04
UT_628 40.650 -111.6332733.1416
UT_631 40.483 -112.6002505.7608
UT_634 41.450 -111.4832731.008
UT_643 40.600 -109.8832898.648
UT_1146 39.333 -112.1832368.9056
UT_1148 37.700 -112.6502545.08
UT_684 40.750 -111.6172286
UT_971 40.933 -111.8002359.152
UT_686 39.917 -111.6172458.5168
UT_691 39.000 -111.5672926.08
UT_694 38.950 -112.2332679.192
UT_714 39.450 -111.2672745.9432
UT_720 40.533 -110.6832404.5672
UT_723 40.433 -112.2172712.72
UT_742 39.300 -111.4173020.568
UT_763 40.783 -111.1172316.48
UT_766 40.550 -111.6502938.272
UT_1117 40.833 -110.0003115.9704
UT_1156 38.483 -112.0002775.204
UT_790 40.900 -110.5003108.96
UT_795 40.183 -111.2172475.8904
UT_1013 41.783 -111.5332257.3488
UT_814 40.617 -111.5172813.304
UT_1097 39.667 -110.4332646.8832
UT_820 40.417 -111.6002481.072
UT_823 41.883 -111.6172556.0528
UT_1113 41.883 -111.5671905
UT_828 40.667 -110.9333045.5616
UT_833 40.733 -109.6672901.0864
UT_1098 41.900 -111.5002520.696
UT_844 39.933 -112.4002255.8248
UT_853 37.567 -112.9002795.016
UT_864 39.950 -110.9832633.7768
UT_865 37.833 -111.8672938.272
WA_908 47.767 -121.6831066.8
WA_990 48.867 -121.2501106.424
